SQL,Label
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT #, # FROM #,0
SELECT * FROM #,0
SELECT # FROM #,0
SELECT DISTINCT # FROM #,0
SELECT COUNT(DISTINCT #) FROM #,0
SELECT Count(*) AS #,0
FROM (SELECT DISTINCT # FROM #),0
SELECT * FROM #,0
SELECT * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#',0
SELECT * FROM #  WHERE #=#,0
SELECT * FROM # WHERE #='#'  AND City='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE    NOT #='#',0
SELECT * FROM # WHERE #='#'  AND (#='#' OR #='#'),0
SELECT * FROM # WHERE NOT #='#'  AND NOT #='#',0
SELECT * FROM # ORDER BY #,0
SELECT * FROM # ORDER BY # DESC,0
" SELECT * FROM # ORDER BY #, #",0
" SELECT * FROM # ORDER BY # ASC, # DESC",0
"INSERT INTO #(#, #, #, #, #, #) VALUES ('#', '#'. #', '#', '#', '#', '#') ",0
"INSERT INTO # (#, #, #) VALUES ('#', '#', '#') ",0
"   SELECT #, #, # FROM # WHERE #
  IS NULL
",0
"   SELECT #, #, #FROM # WHERE #
  IS NOT NULL
",0
"  UPDATE # SET #= '#', City= '#'
 WHERE #= #
",0
" UPDATE # SET #='#'
WHERE #='#'
",0
SELECT * FROM #,0
DELETE FROM # WHERE #='#',0
DELETE FROM #,0
SELECT #(s) FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM #,0
SELECT * FROM # 3,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(#) AS # FROM #,0
SELECT MIN(#) AS # FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM # SELECT * FROM # 3SELECT * FROM #,0
SELECT * FROM # 3 SELECT * FROM #,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM #,0
SELECT TOP 50 PERCENT * FROM # SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT TOP 3 * FROM # WHERE #='#' SELECT * FROM #,0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '[#]%',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#) FROM #  SELECT SUM(#),0
SELECT COUNT(#)FROM #,0
SELECT COUNT(#)FROM #,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '#%',0
SELECT * FROM # WHERE # LIKE '%#%',0
SELECT * FROM #  WHERE # NOT LIKE '[#]%',0
"  SELECT * FROM # WHERE # IN ('#', '#', '#') ",0
"  SELECT * FROM # WHERE # NOT IN ('#', '#', '#') ",0
SELECT * FROM # WHERE # IN (SELECT # FROM #),0
SELECT * FROM # WHERE #  BETWEEN 10 AND 20,0
SELECT * FROM # WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM # WHERE # BETWEEN '#' AND '#',0
"SELECT * FROM # WHERE # BETWEEN ""#"" AND    ""#""",0
SELECT * FROM # WHERE # NOT BETWEEN '#' AND '#',0
SELECT * FROM # WHERE # BETWEEN #09/01/1996# AND #15/31/1996#,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT COUNT(#) FROM #,0
SELECT COUNT(#ID)FROM #,0
SELECT AVG(Price)FROM #,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT # AS #, # AS [#]  FROM #",0
"   SELECT #, #+ ', ' + #+ ' ' + #+ ', ' + # AS #  FROM #",0
SELECT #(s)FROM # INNER JOIN,0
"   SELECT #,#,#,#,#   ((# JOIN # ON #.#= #.#)  INNER JOIN #ON Orders.#= #.#ID)",0
SELECT #(s) FROM # LEFT JOIN,0
"  SELECT #,#,# FROM # LEFT JOIN Orders ON #.#ID= #.# ORDER BY #.#",0
SELECT #(s FROM # RIGHT JOIN,0
"  SELECT Orders.#rID, Employees.#, Employees.# FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.#ID ORDER BY Orders.#ID",0
SELECT #(s) FROM # FULL OUTER JOIN,0
" SELECT column_name(s) FROM #,#",0
SELECT #(s) FROM # UNION,0
SELECT #(s) FROM # SELECT #(s),0
SELECT #(s) FROM # UNION ALL,0
SELECT #(s) FROM # SELECT # FROM #,0
SELECT # FROM # UNION SELECT # FROM # ORDER BY #,0
SELECT # FROM # UNION ALL SELECT # FROM # ORDER BY #,0
"  SELECT #,# FROM # WHERE #='#' UNION SELECT #, # FROM #",0
"   SELECT COUNT(#), # FROM # BY #",0
"   SELECT Employees.#, COUNT(Orders.#ID) AS #FROM   (OrdersINNER JOIN # ON Orders.#ID = Employees.#ID)",0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT #, # FROM #,0
SELECT * FROM #,0
SELECT # FROM #,0
SELECT DISTINCT # FROM #,0
SELECT COUNT(DISTINCT #) FROM #,0
SELECT Count(*) AS #,0
FROM (SELECT DISTINCT # FROM #),0
SELECT * FROM #,0
SELECT * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#',0
SELECT * FROM #  WHERE #=#,0
SELECT * FROM # WHERE #='#'  AND City='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE    NOT #='#',0
SELECT * FROM # WHERE #='#'  AND (#='#' OR #='#'),0
SELECT * FROM # WHERE NOT #='#'  AND NOT #='#',0
SELECT * FROM # ORDER BY #,0
SELECT * FROM # ORDER BY # DESC,0
" SELECT * FROM # ORDER BY #, #",0
" SELECT * FROM # ORDER BY # ASC, # DESC",0
"INSERT INTO #(#, #, #, #, #, #) VALUES ('#', '#'. #', '#', '#', '#', '#') ",0
"INSERT INTO # (#, #, #) VALUES ('#', '#', '#') ",0
"   SELECT #, #, # FROM # WHERE #
  IS NULL
",0
"   SELECT #, #, #FROM # WHERE #
  IS NOT NULL
",0
"  UPDATE # SET #= '#', City= '#'
 WHERE #= #
",0
" UPDATE # SET #='#'
WHERE #='#'
",0
SELECT * FROM #,0
DELETE FROM # WHERE #='#',0
DELETE FROM #,0
SELECT #(s) FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM #,0
SELECT * FROM # 3,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(#) AS # FROM #,0
SELECT MIN(#) AS # FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM # SELECT * FROM # 3SELECT * FROM #,0
SELECT * FROM # 3 SELECT * FROM #,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM #,0
SELECT TOP 50 PERCENT * FROM # SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT TOP 3 * FROM # WHERE #='#' SELECT * FROM #,0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '[#]%',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#) FROM #  SELECT SUM(#),0
SELECT COUNT(#)FROM #,0
SELECT COUNT(#)FROM #,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '#%',0
SELECT * FROM # WHERE # LIKE '%#%',0
SELECT * FROM #  WHERE # NOT LIKE '[#]%',0
"  SELECT * FROM # WHERE # IN ('#', '#', '#') ",0
"  SELECT * FROM # WHERE # NOT IN ('#', '#', '#') ",0
SELECT * FROM # WHERE # IN (SELECT # FROM #),0
SELECT * FROM # WHERE #  BETWEEN 10 AND 20,0
SELECT * FROM # WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM # WHERE # BETWEEN '#' AND '#',0
"SELECT * FROM # WHERE # BETWEEN ""#"" AND    ""#""",0
SELECT * FROM # WHERE # NOT BETWEEN '#' AND '#',0
SELECT * FROM # WHERE # BETWEEN #09/01/1996# AND #15/31/1996#,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT COUNT(#) FROM #,0
SELECT COUNT(#ID)FROM #,0
SELECT AVG(Price)FROM #,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT # AS #, # AS [#]  FROM #",0
"   SELECT #, #+ ', ' + #+ ' ' + #+ ', ' + # AS #  FROM #",0
SELECT #(s)FROM # INNER JOIN,0
"   SELECT #,#,#,#,#   ((# JOIN # ON #.#= #.#)  INNER JOIN #ON Orders.#= #.#ID)",0
SELECT #(s) FROM # LEFT JOIN,0
"  SELECT #,#,# FROM # LEFT JOIN Orders ON #.#ID= #.# ORDER BY #.#",0
SELECT #(s FROM # RIGHT JOIN,0
"  SELECT Orders.#rID, Employees.#, Employees.# FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.#ID ORDER BY Orders.#ID",0
SELECT #(s) FROM # FULL OUTER JOIN,0
" SELECT column_name(s) FROM #,#",0
SELECT #(s) FROM # UNION,0
SELECT #(s) FROM # SELECT #(s),0
SELECT #(s) FROM # UNION ALL,0
SELECT #(s) FROM # SELECT # FROM #,0
SELECT # FROM # UNION SELECT # FROM # ORDER BY #,0
SELECT # FROM # UNION ALL SELECT # FROM # ORDER BY #,0
"  SELECT #,# FROM # WHERE #='#' UNION SELECT #, # FROM #",0
"   SELECT COUNT(#), # FROM # BY #",0
"   SELECT Employees.#, COUNT(Orders.#ID) AS #FROM   (OrdersINNER JOIN # ON Orders.#ID = Employees.#ID)",0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT #, # FROM #,0
SELECT * FROM #,0
SELECT # FROM #,0
SELECT DISTINCT # FROM #,0
SELECT COUNT(DISTINCT #) FROM #,0
SELECT Count(*) AS #,0
FROM (SELECT DISTINCT # FROM #),0
SELECT * FROM #,0
SELECT * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#',0
SELECT * FROM #  WHERE #=#,0
SELECT * FROM # WHERE #='#'  AND City='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE    NOT #='#',0
SELECT * FROM # WHERE #='#'  AND (#='#' OR #='#'),0
SELECT * FROM # WHERE NOT #='#'  AND NOT #='#',0
SELECT * FROM # ORDER BY #,0
SELECT * FROM # ORDER BY # DESC,0
" SELECT * FROM # ORDER BY #, #",0
" SELECT * FROM # ORDER BY # ASC, # DESC",0
"INSERT INTO #(#, #, #, #, #, #) VALUES ('#', '#'. #', '#', '#', '#', '#') ",0
"INSERT INTO # (#, #, #) VALUES ('#', '#', '#') ",0
"   SELECT #, #, # FROM # WHERE #
  IS NULL
",0
"   SELECT #, #, #FROM # WHERE #
  IS NOT NULL
",0
"  UPDATE # SET #= '#', City= '#'
 WHERE #= #
",0
" UPDATE # SET #='#'
WHERE #='#'
",0
SELECT * FROM #,0
DELETE FROM # WHERE #='#',0
DELETE FROM #,0
SELECT #(s) FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM #,0
SELECT * FROM # 3,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(#) AS # FROM #,0
SELECT MIN(#) AS # FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM # SELECT * FROM # 3SELECT * FROM #,0
SELECT * FROM # 3 SELECT * FROM #,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM #,0
SELECT TOP 50 PERCENT * FROM # SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT TOP 3 * FROM # WHERE #='#' SELECT * FROM #,0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '[#]%',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#) FROM #  SELECT SUM(#),0
SELECT COUNT(#)FROM #,0
SELECT COUNT(#)FROM #,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '#%',0
SELECT * FROM # WHERE # LIKE '%#%',0
SELECT * FROM #  WHERE # NOT LIKE '[#]%',0
"  SELECT * FROM # WHERE # IN ('#', '#', '#') ",0
"  SELECT * FROM # WHERE # NOT IN ('#', '#', '#') ",0
SELECT * FROM # WHERE # IN (SELECT # FROM #),0
SELECT * FROM # WHERE #  BETWEEN 10 AND 20,0
SELECT * FROM # WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM # WHERE # BETWEEN '#' AND '#',0
"SELECT * FROM # WHERE # BETWEEN ""#"" AND    ""#""",0
SELECT * FROM # WHERE # NOT BETWEEN '#' AND '#',0
SELECT * FROM # WHERE # BETWEEN #09/01/1996# AND #15/31/1996#,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT COUNT(#) FROM #,0
SELECT COUNT(#ID)FROM #,0
SELECT AVG(Price)FROM #,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT # AS #, # AS [#]  FROM #",0
"   SELECT #, #+ ', ' + #+ ' ' + #+ ', ' + # AS #  FROM #",0
SELECT #(s)FROM # INNER JOIN,0
"   SELECT #,#,#,#,#   ((# JOIN # ON #.#= #.#)  INNER JOIN #ON Orders.#= #.#ID)",0
SELECT #(s) FROM # LEFT JOIN,0
"  SELECT #,#,# FROM # LEFT JOIN Orders ON #.#ID= #.# ORDER BY #.#",0
SELECT #(s FROM # RIGHT JOIN,0
"  SELECT Orders.#rID, Employees.#, Employees.# FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.#ID ORDER BY Orders.#ID",0
SELECT #(s) FROM # FULL OUTER JOIN,0
" SELECT column_name(s) FROM #,#",0
SELECT #(s) FROM # UNION,0
SELECT #(s) FROM # SELECT #(s),0
SELECT #(s) FROM # UNION ALL,0
SELECT #(s) FROM # SELECT # FROM #,0
SELECT # FROM # UNION SELECT # FROM # ORDER BY #,0
SELECT # FROM # UNION ALL SELECT # FROM # ORDER BY #,0
"  SELECT #,# FROM # WHERE #='#' UNION SELECT #, # FROM #",0
"   SELECT COUNT(#), # FROM # BY #",0
"   SELECT Employees.#, COUNT(Orders.#ID) AS #FROM   (OrdersINNER JOIN # ON Orders.#ID = Employees.#ID)",0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT #, # FROM #,0
SELECT * FROM #,0
SELECT # FROM #,0
SELECT DISTINCT # FROM #,0
SELECT COUNT(DISTINCT #) FROM #,0
SELECT Count(*) AS #,0
FROM (SELECT DISTINCT # FROM #),0
SELECT * FROM #,0
SELECT * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#',0
SELECT * FROM #  WHERE #=#,0
SELECT * FROM # WHERE #='#'  AND City='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE    NOT #='#',0
SELECT * FROM # WHERE #='#'  AND (#='#' OR #='#'),0
SELECT * FROM # WHERE NOT #='#'  AND NOT #='#',0
SELECT * FROM # ORDER BY #,0
SELECT * FROM # ORDER BY # DESC,0
" SELECT * FROM # ORDER BY #, #",0
" SELECT * FROM # ORDER BY # ASC, # DESC",0
"INSERT INTO #(#, #, #, #, #, #) VALUES ('#', '#'. #', '#', '#', '#', '#') ",0
"INSERT INTO # (#, #, #) VALUES ('#', '#', '#') ",0
"   SELECT #, #, # FROM # WHERE #
  IS NULL
",0
"   SELECT #, #, #FROM # WHERE #
  IS NOT NULL
",0
"  UPDATE # SET #= '#', City= '#'
 WHERE #= #
",0
" UPDATE # SET #='#'
WHERE #='#'
",0
SELECT * FROM #,0
DELETE FROM # WHERE #='#',0
DELETE FROM #,0
SELECT #(s) FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM #,0
SELECT * FROM # 3,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(#) AS # FROM #,0
SELECT MIN(#) AS # FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM # SELECT * FROM # 3SELECT * FROM #,0
SELECT * FROM # 3 SELECT * FROM #,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM #,0
SELECT TOP 50 PERCENT * FROM # SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT TOP 3 * FROM # WHERE #='#' SELECT * FROM #,0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '[#]%',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#) FROM #  SELECT SUM(#),0
SELECT COUNT(#)FROM #,0
SELECT COUNT(#)FROM #,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '#%',0
SELECT * FROM # WHERE # LIKE '%#%',0
SELECT * FROM #  WHERE # NOT LIKE '[#]%',0
"  SELECT * FROM # WHERE # IN ('#', '#', '#') ",0
"  SELECT * FROM # WHERE # NOT IN ('#', '#', '#') ",0
SELECT * FROM # WHERE # IN (SELECT # FROM #),0
SELECT * FROM # WHERE #  BETWEEN 10 AND 20,0
SELECT * FROM # WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM # WHERE # BETWEEN '#' AND '#',0
"SELECT * FROM # WHERE # BETWEEN ""#"" AND    ""#""",0
SELECT * FROM # WHERE # NOT BETWEEN '#' AND '#',0
SELECT * FROM # WHERE # BETWEEN #09/01/1996# AND #15/31/1996#,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT COUNT(#) FROM #,0
SELECT COUNT(#ID)FROM #,0
SELECT AVG(Price)FROM #,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT # AS #, # AS [#]  FROM #",0
"   SELECT #, #+ ', ' + #+ ' ' + #+ ', ' + # AS #  FROM #",0
SELECT #(s)FROM # INNER JOIN,0
"   SELECT #,#,#,#,#   ((# JOIN # ON #.#= #.#)  INNER JOIN #ON Orders.#= #.#ID)",0
SELECT #(s) FROM # LEFT JOIN,0
"  SELECT #,#,# FROM # LEFT JOIN Orders ON #.#ID= #.# ORDER BY #.#",0
SELECT #(s FROM # RIGHT JOIN,0
"  SELECT Orders.#rID, Employees.#, Employees.# FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.#ID ORDER BY Orders.#ID",0
SELECT #(s) FROM # FULL OUTER JOIN,0
" SELECT column_name(s) FROM #,#",0
SELECT #(s) FROM # UNION,0
SELECT #(s) FROM # SELECT #(s),0
SELECT #(s) FROM # UNION ALL,0
SELECT #(s) FROM # SELECT # FROM #,0
SELECT # FROM # UNION SELECT # FROM # ORDER BY #,0
SELECT # FROM # UNION ALL SELECT # FROM # ORDER BY #,0
"  SELECT #,# FROM # WHERE #='#' UNION SELECT #, # FROM #",0
"   SELECT COUNT(#), # FROM # BY #",0
"   SELECT Employees.#, COUNT(Orders.#ID) AS #FROM   (OrdersINNER JOIN # ON Orders.#ID = Employees.#ID)",0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT #, # FROM #,0
SELECT * FROM #,0
SELECT # FROM #,0
SELECT DISTINCT # FROM #,0
SELECT COUNT(DISTINCT #) FROM #,0
SELECT Count(*) AS #,0
FROM (SELECT DISTINCT # FROM #),0
SELECT * FROM #,0
SELECT * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#',0
SELECT * FROM #  WHERE #=#,0
SELECT * FROM # WHERE #='#'  AND City='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE #='#'  OR #='#',0
SELECT * FROM # WHERE    NOT #='#',0
SELECT * FROM # WHERE #='#'  AND (#='#' OR #='#'),0
SELECT * FROM # WHERE NOT #='#'  AND NOT #='#',0
SELECT * FROM # ORDER BY #,0
SELECT * FROM # ORDER BY # DESC,0
" SELECT * FROM # ORDER BY #, #",0
" SELECT * FROM # ORDER BY # ASC, # DESC",0
"INSERT INTO #(#, #, #, #, #, #) VALUES ('#', '#'. #', '#', '#', '#', '#') ",0
"INSERT INTO # (#, #, #) VALUES ('#', '#', '#') ",0
"   SELECT #, #, # FROM # WHERE #
  IS NULL
",0
"   SELECT #, #, #FROM # WHERE #
  IS NOT NULL
",0
"  UPDATE # SET #= '#', City= '#'
 WHERE #= #
",0
" UPDATE # SET #='#'
WHERE #='#'
",0
SELECT * FROM #,0
DELETE FROM # WHERE #='#',0
DELETE FROM #,0
SELECT #(s) FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM #,0
SELECT * FROM # 3,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM # WHERE #='#',0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(#) AS # FROM #,0
SELECT MIN(#) AS # FROM #,0
SELECT * FROM (SELECT # FROM #),0
SELECT TOP 3 * FROM # SELECT * FROM # 3SELECT * FROM #,0
SELECT * FROM # 3 SELECT * FROM #,0
SELECT * FROM # FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM #,0
SELECT TOP 50 PERCENT * FROM # SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT * FROM # FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM #,0
SELECT TOP 3 * FROM # WHERE #='#' SELECT * FROM #,0
SELECT * FROM # WHERE #='#' LIMIT 3,0
SELECT * FROM # WHERE #='#' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '[#]%',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT AVG(#) FROM #  SELECT SUM(#),0
SELECT COUNT(#)FROM #,0
SELECT COUNT(#)FROM #,0
SELECT AVG(#)FROM #,0
SELECT * FROM # WHERE # NOT LIKE '#%',0
SELECT * FROM # WHERE # LIKE '%#%',0
SELECT * FROM #  WHERE # NOT LIKE '[#]%',0
"  SELECT * FROM # WHERE # IN ('#', '#', '#') ",0
"  SELECT * FROM # WHERE # NOT IN ('#', '#', '#') ",0
SELECT * FROM # WHERE # IN (SELECT # FROM #),0
SELECT * FROM # WHERE #  BETWEEN 10 AND 20,0
SELECT * FROM # WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM # WHERE # BETWEEN '#' AND '#',0
"SELECT * FROM # WHERE # BETWEEN ""#"" AND    ""#""",0
SELECT * FROM # WHERE # NOT BETWEEN '#' AND '#',0
SELECT * FROM # WHERE # BETWEEN #09/01/1996# AND #15/31/1996#,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(#)FROM # SELECT SUM(#),0
SELECT COUNT(#) FROM #,0
SELECT COUNT(#ID)FROM #,0
SELECT AVG(Price)FROM #,0
SELECT * FROM # WHERE # BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT #ID AS ID, # AS # FROM #",0
"  SELECT # AS #, # AS [#]  FROM #",0
"   SELECT #, #+ ', ' + #+ ' ' + #+ ', ' + # AS #  FROM #",0
SELECT #(s)FROM # INNER JOIN,0
"   SELECT #,#,#,#,#   ((# JOIN # ON #.#= #.#)  INNER JOIN #ON Orders.#= #.#ID)",0
SELECT #(s) FROM # LEFT JOIN,0
"  SELECT #,#,# FROM # LEFT JOIN Orders ON #.#ID= #.# ORDER BY #.#",0
SELECT #(s FROM # RIGHT JOIN,0
"  SELECT Orders.#rID, Employees.#, Employees.# FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.#ID ORDER BY Orders.#ID",0
SELECT #(s) FROM # FULL OUTER JOIN,0
" SELECT column_name(s) FROM #,#",0
SELECT #(s) FROM # UNION,0
SELECT #(s) FROM # SELECT #(s),0
SELECT #(s) FROM # UNION ALL,0
SELECT #(s) FROM # SELECT # FROM #,0
SELECT # FROM # UNION SELECT # FROM # ORDER BY #,0
SELECT # FROM # UNION ALL SELECT # FROM # ORDER BY #,0
"  SELECT #,# FROM # WHERE #='#' UNION SELECT #, # FROM #",0
"   SELECT COUNT(#), # FROM # BY #",0
